productName,category,batchNum,supplier,date,availableQty,damageQty,displayQty,description,isNil,isCancelled
HG 631 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 632 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
HG 633 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,9,0,0,,FALSE,FALSE
HG 634 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 635 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
HG 636 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 637 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
HG 638 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
HG 1137 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 1138 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,2,0,0,,FALSE,FALSE
HG 1179 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,10,0,0,,FALSE,FALSE
HG 1180 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 1183 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
HG 1184 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 2011 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,FALSE,TRUE
HG 2012 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 2016 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 2017 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,2,0,,FALSE,FALSE
HG 2033 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,FALSE,TRUE
HG 2034 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,FALSE,TRUE
HG 2035 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,2,0,0,,FALSE,FALSE
HG 2036 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,1,0,,FALSE,FALSE
HG 2037 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
HG 2038 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 2039 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
HG 2042 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
